City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Caravelas,BR,74.66,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
265,Port-Gentil,GA,78.21,overcast clouds,-0.7193,8.7815,Fengshui Residence
272,Linhares,BR,71.6,clear sky,-19.3911,-40.0722,Hotel Conceição
273,Hualmay,PE,71.51,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
274,Palora,EC,64.09,broken clouds,-1.7,-77.9333,Rancho grande
275,Ahuimanu,US,76.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
276,Dakar,SN,61.68,clear sky,14.6937,-17.4441,Novotel Dakar
277,Gushikawa,JP,78.03,clear sky,26.3544,127.8686,Kirari Guest House
286,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
289,Sao Filipe,CV,68.99,clear sky,14.8961,-24.4956,Hotel Xaguate
291,Peniche,PT,58.1,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
293,Hukuntsi,BW,64.13,clear sky,-24.0,21.75,Entabeni Hotel
294,Cao Bang,VN,78.75,overcast clouds,22.6667,106.25,khách sạn 88
297,Trairi,BR,72.84,overcast clouds,-3.2778,-39.2689,janelas do mar
300,Xam Nua,LA,66.92,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
301,Rosetta,EG,54.66,few clouds,31.4044,30.4164,Green Valley
307,Lagoa,PT,55.58,overcast clouds,39.05,-27.9833,Casa Das Faias
311,Taitung,TW,79.07,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
313,Baiyin,CN,58.03,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
314,Bushehr,IR,67.82,broken clouds,28.9684,50.8385,Yas Hotel
317,Vallenar,CL,66.96,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
318,Sao Jose Da Coroa Grande,BR,77.97,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
320,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
321,Esperance,AU,74.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
323,Havelock,US,60.93,overcast clouds,34.8791,-76.9013,Sherwood Motel
326,Plettenberg Bay,ZA,64.11,few clouds,-34.0527,23.3716,Thanda Vista B&B
327,Port-De-Bouc,FR,50.76,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
331,Daniel Flores,CR,67.28,few clouds,9.3355,-83.6694,Hotel San Isidro
333,Naze,JP,67.46,scattered clouds,28.3667,129.4833,Shishime Hotel
335,Inongo,CD,73.72,broken clouds,-1.95,18.2667,Hotel Du Lac
336,Sertania,BR,69.62,overcast clouds,-8.0736,-37.2644,Hotel Esperança
337,San Luis,AR,69.84,clear sky,-33.295,-66.3356,Huarpes Hotel
338,Saurimo,AO,66.27,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
340,Riyadh,SA,59.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
342,Rosario,AR,70.07,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
345,Baena,ES,55.42,overcast clouds,37.6167,-4.3225,La Casa Grande
346,Yenagoa,NG,77.95,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
348,Lata,PT,54.07,broken clouds,40.1629,-8.3327,Casa Maquia
349,Ancud,CL,57.22,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
350,Buchanan,LR,76.75,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
355,Pinhao,BR,61.81,overcast clouds,-25.6956,-51.6597,Pinhão Park Hotel
361,Cali,CO,66.2,scattered clouds,3.4372,-76.5225,Hotel La Luna
362,Shelbyville,US,56.01,moderate rain,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
365,Chimbote,PE,71.19,scattered clouds,-9.0853,-78.5783,Hotel Briliá
366,Lakota,CI,71.87,overcast clouds,5.8528,-5.6883,Aziz bah divers
367,Chiltepec,MX,64.71,overcast clouds,18.4847,-96.9019,Santa Cruz Huitzmaloc
368,Puerto Penasco,MX,65.91,few clouds,31.3167,-113.5333,Playa Bonita Resort
370,Ballina,AU,76.01,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
371,Maldonado,UY,67.23,few clouds,-34.6667,-54.9167,La Cimarrona
372,Remanso,BR,73.74,light rain,-9.6179,-42.0831,Hotel Mangueira
373,Manoel Urbano,BR,71.33,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
375,Bosconia,CO,78.17,scattered clouds,9.9689,-73.8836,Hotel Jorlin
376,Marsh Harbour,BS,74.3,clear sky,26.5412,-77.0636,Abaco Beach Resort
