City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Eureka,US,2022-03-09 08:57:39,40.8021,-124.1637,5.88,85,20,1.71
113,Beirut,LB,2022-03-09 09:00:00,33.8889,35.4944,14.41,67,75,6.69
114,Jeronimo Monteiro,BR,2022-03-09 09:01:39,-20.7894,-41.395,19.73,95,0,0.91
115,Luderitz,NA,2022-03-09 09:01:39,-26.6481,15.1594,22.56,69,15,5.91
116,Georgetown,MY,2022-03-09 08:57:13,5.4112,100.3354,31.96,74,20,4.12
117,Koungou,YT,2022-03-09 09:01:40,-12.7336,45.2042,26.84,83,75,5.66
118,Komsomolskiy,UZ,2022-03-09 09:01:41,40.4272,71.7189,12.68,57,100,3.13
119,Panama City,PA,2022-03-09 09:00:24,8.9936,-79.5197,24.68,81,9,2.17
120,Sobolevo,RU,2022-03-09 09:01:41,54.4299,31.8996,-7.61,84,71,4.87
121,Nuuk,GL,2022-03-09 09:01:42,64.1835,-51.7216,-21.44,91,28,3.25
122,Ostrovnoy,RU,2022-03-09 09:01:42,68.0531,39.5131,-3.82,91,97,5.88
123,Ahuimanu,US,2022-03-09 09:01:42,21.4447,-157.8378,23.59,83,17,0.45
124,East London,ZA,2022-03-09 09:01:43,-33.0153,27.9116,25.28,64,2,7.44
125,Marquette,US,2022-03-09 09:01:43,46.5333,-87.6335,-2.31,91,100,3.36
126,Filadelfia,US,2022-03-09 09:01:44,39.9523,-75.1638,5.82,68,100,0.45
127,Acajutla,SV,2022-03-09 09:00:38,13.5928,-89.8275,25.21,81,16,2.96
128,Belmonte,BR,2022-03-09 09:01:44,-15.8631,-38.8828,23.0,91,23,1.52
129,Arraial Do Cabo,BR,2022-03-09 08:54:32,-22.9661,-42.0278,24.39,90,63,7.93
130,Nome,US,2022-03-09 09:01:45,64.5011,-165.4064,-9.83,86,10,4.01
131,Wangkui,CN,2022-03-09 09:01:45,46.8333,126.5,-0.15,96,100,4.73
132,Baykit,RU,2022-03-09 09:01:46,61.67,96.37,-15.71,80,100,3.87
133,Ishinomaki,JP,2022-03-09 09:01:46,38.4167,141.3,5.94,66,70,2.06
134,Mosquera,CO,2022-03-09 08:59:31,4.7059,-74.2302,8.05,93,40,1.03
135,Ribeira Grande,PT,2022-03-09 09:01:47,38.5167,-28.7,14.22,82,40,2.57
136,Bambous Virieux,MU,2022-03-09 09:01:47,-20.3428,57.7575,30.12,77,33,4.66
137,Stromness,GB,2022-03-09 09:01:48,58.965,-3.296,7.14,84,100,17.38
138,Chuy,UY,2022-03-09 09:01:48,-33.6971,-53.4616,17.49,78,100,2.33
139,Elizabeth City,US,2022-03-09 09:01:49,36.2946,-76.2511,9.01,97,100,0.45
140,Sungairaya,ID,2022-03-09 09:01:49,0.7,108.9,29.16,70,68,3.57
141,Punta Alta,AR,2022-03-09 09:01:50,-38.8759,-62.0736,19.71,32,98,6.93
142,Talnakh,RU,2022-03-09 09:01:50,69.4865,88.3972,-27.97,98,100,2.73
143,Rivadavia,AR,2022-03-09 09:01:51,-33.1905,-68.4608,19.32,84,0,1.83
144,Henties Bay,NA,2022-03-09 09:01:52,-22.116,14.2845,17.7,80,82,3.33
145,Kenai,US,2022-03-09 09:01:52,60.5544,-151.2583,-0.48,90,75,2.06
146,Bud,US,2022-03-09 09:01:53,39.447,-86.1758,2.29,83,100,1.98
147,Belyy Yar,RU,2022-03-09 09:01:53,53.6039,91.3903,-2.06,29,0,6.0
148,Sangueya,GN,2022-03-09 09:01:54,10.7,-14.3667,26.76,55,5,0.96
149,Barrow,US,2022-03-09 09:01:54,71.2906,-156.7887,-18.99,71,0,6.17
150,Forlimpopoli,IT,2022-03-09 09:01:54,44.1911,12.1287,8.82,51,39,0.45
151,Cockburn Town,TC,2022-03-09 09:01:55,21.4612,-71.1419,25.14,73,0,8.86
152,San Quintin,MX,2022-03-09 09:01:55,30.4833,-115.95,12.89,73,0,3.08
153,Dikson,RU,2022-03-09 09:01:56,73.5069,80.5464,-29.32,98,66,2.21
154,Mancio Lima,BR,2022-03-09 09:01:56,-7.6142,-72.8958,21.67,100,100,0.87
155,Ancud,CL,2022-03-09 09:01:52,-41.8697,-73.8203,10.68,76,10,5.16
156,Uglezavodsk,RU,2022-03-09 09:01:56,47.3167,142.6167,1.88,92,19,1.84
157,Vostok,RU,2022-03-09 09:01:57,46.4856,135.8833,-6.88,96,98,1.22
158,Asau,RO,2022-03-09 09:01:57,46.4333,26.4,-0.58,55,96,4.66
159,Maiduguri,NG,2022-03-09 09:01:58,11.8464,13.1603,35.46,11,96,6.2
160,Shitanjing,CN,2022-03-09 09:01:58,39.2342,106.3439,13.92,14,90,2.04
161,Chincholi,IN,2022-03-09 09:01:59,17.4667,77.4333,35.04,17,4,1.92
162,Panguna,PG,2022-03-09 09:01:59,-6.3164,155.4848,21.3,95,39,0.74
163,Meulaboh,ID,2022-03-09 09:01:59,4.1363,96.1285,29.37,68,76,3.0
164,Thinadhoo,MV,2022-03-09 09:02:00,0.5333,72.9333,28.34,67,61,3.76
165,Tual,ID,2022-03-09 09:02:00,-5.6667,132.75,28.9,70,21,1.21
166,Hobyo,SO,2022-03-09 09:02:01,5.3505,48.5268,28.82,52,15,8.17
167,Boppard,DE,2022-03-09 09:02:01,50.2308,7.5899,7.19,45,0,2.09
168,Panguipulli,CL,2022-03-09 09:02:01,-39.6333,-72.3333,4.81,99,19,1.08
169,Parabel,RU,2022-03-09 09:02:02,58.6978,81.4825,-14.72,80,100,4.27
170,Yinchuan,CN,2022-03-09 09:02:02,38.4681,106.2731,15.6,16,100,0.48
171,Katsuura,JP,2022-03-09 09:02:03,35.1333,140.3,11.06,64,100,5.47
172,Marzuq,YE,2022-03-09 09:02:03,14.4,46.4667,30.74,8,78,4.02
173,Port Barton,PH,2022-03-09 09:02:03,10.4756,119.2472,28.55,73,94,5.77
174,Jiangyou,CN,2022-03-09 09:02:04,31.7667,104.7167,25.54,33,24,2.45
175,Pisco,PE,2022-03-09 09:02:04,-13.7,-76.2167,21.78,80,100,0.89
176,Mokhotlong,LS,2022-03-09 09:02:05,-29.2894,29.0675,12.83,87,100,0.82
177,Teya,RU,2022-03-09 09:02:05,60.3778,92.6267,-15.47,81,100,4.12
178,Ongandjera,NA,2022-03-09 09:02:06,-17.8833,15.0667,28.39,38,100,3.06
179,Fairbanks,US,2022-03-09 09:02:06,64.8378,-147.7164,-7.51,98,99,0.89
180,Shinjo,JP,2022-03-09 09:02:07,38.7586,140.3008,2.23,98,92,1.19
181,Chokurdakh,RU,2022-03-09 09:02:07,70.6333,147.9167,-20.53,96,100,2.92
182,Hithadhoo,MV,2022-03-09 09:02:07,-0.6,73.0833,28.56,63,78,2.79
183,Longyearbyen,SJ,2022-03-09 09:02:08,78.2186,15.6401,-1.09,86,75,6.69
184,Sabalgarh,IN,2022-03-09 09:02:08,26.25,77.4,33.37,16,5,1.36
185,Piranhas,BR,2022-03-09 09:02:09,-16.4269,-51.8222,21.11,91,19,1.42
186,Tuktoyaktuk,CA,2022-03-09 09:02:09,69.4541,-133.0374,-26.1,98,100,4.02
187,Saldanha,ZA,2022-03-09 09:02:09,-33.0117,17.9442,21.01,77,28,4.26
